  Brandenburg
"      Brandenburg an der Havel, Kreisfreie Stadt"
"      Cottbus, Kreisfreie Stadt"
"      Frankfurt (Oder), Kreisfreie Stadt"
"      Potsdam, Kreisfreie Stadt"
"      Barnim, Landkreis"
        Ahrensfelde
        Alth?ttendorf
        Bernau bei Berlin
        Biesenthal
        Breydin
        Britz
        Chorin
        Eberswalde
        Friedrichswalde
        Hohenfinow
        Hohensaaten
        Joachimsthal
"        Liepe, b Eberswalde"
        Lunow-Stolzenhagen
        Marienwerder
        Melchow
        Niederfinow
        Oderberg
        Panketal
        Parsteinsee
        R?dnitz
        Schorfheide
        Sydower Flie?
        Wandlitz
        Werneuchen
        Ziethen
"      Dahme-Spreewald, Landkreis"
        Alt Zauche-Wu?werk
        Bersteland
        Bestensee
        Byhleguhre-Byhlen
        Drahnsdorf
        Eichwalde
        Gol?en
        Gro? K?ris
        Halbe
        Heidesee
        Heideblick
        Jamlitz
        Kasel-Golzig
        K?nigs Wusterhausen
        Krausnick-Gro? Wasserburg
        Lieberose
        L?bben (Spreewald)
        Luckau
        M?rkisch Buchholz
        M?rkische Heide
"        Mittenwalde, Mark"
"        M?nchehofe, b K?nigs Wusterhausen"
        Neu Zauche
        Rietzneuendorf-Staakow
        Schlepzig
        Sch?nefeld
"        Sch?nwald, b L?bben"
"        Schulzendorf, b Eichwalde"
"        Schwerin, b K?nigs Wusterhausen"
        Schwielochsee
        Spreewaldheide
        Steinreich
        Straupitz
        Teupitz
        Unterspreewald
        Wildau
        Zeuthen
"      Elbe-Elster, Landkreis"
        Bad Liebenwerda
        Crinitz
        Doberlug-Kirchhain
        Elsterwerda
        Falkenberg/Elster
        Fichtwald
        Finsterwalde
        Gorden-Staupitz
        Gr?den
        Gro?thiemig
"        Heideland, NL"
        Herzberg (Elster)
"        Hirschfeld, b Elsterwerda"
        Hohenbucko
        Hohenleipisch
        Kremitzaue
        Lebusa
        Lichterfeld-Schacksdorf
        Massen-Niederlausitz
        Merzdorf
        M?hlberg/Elbe
        Plessa
        R?derland
"        R?ckersdorf, b Doberlug-Kirchhain"
        Sallgast
        Schilda
        Schlieben
"        Sch?nborn, NL"
        Sch?newalde
        Schraden
        Sonnewalde
        Tr?bitz
        Uebigau-Wahrenbr?ck
"      Havelland, Landkreis"
        Brieselang
        Dallgow-D?beritz
        Falkensee
        Friesack
        Gollenberg
        Gro?derschau
        Havelaue
        Wiesenaue
        Ketzin
        Kle?en-G?rne
        Kotzen
        M?rkisch Luch
        Milower Land
        M?hlenberge
        Nauen
        Nennhausen
        Paulinenaue
        Pessin
        Premnitz
        Rathenow
"        Retzow, b Nauen"
        Rhinow
        Sch?nwalde-Glien
        Seeblick
        Stechow-Ferchesar
        Wustermark
"      M?rkisch-Oderland, Landkreis"
        Alt Tucheband
        Altlandsberg
        Bad Freienwalde (Oder)
        Beiersdorf-Freudenberg
        Bleyen-Genschmar
        Bliesdorf
        Buckow (M?rkische Schweiz)
        Falkenberg
"        Falkenhagen, b Seelow"
        Fichtenh?he
        Fredersdorf-Vogelsdorf
        Garzau-Garzin
        Golzow
        Gusow-Platkow
        Heckelberg-Brunow
        H?henland
        Hoppegarten
        K?striner Vorland
        Lebus
        Letschin
        Lietzen
        Lindendorf
        M?rkische H?he
        M?ncheberg
        Neuenhagen bei Berlin
        Neuhardenberg
        Neulewin
        Neutrebbin
        Oberbarnim
        Oderaue
        Petershagen/Eggersdorf
        Podelzig
        Pr?tzel
        Rehfelde
        Reichenow-M?glin
        Reitwein
        R?dersdorf bei Berlin
        Seelow
        Strausberg
        Treplin
        Vierlinden
        Waldsieversdorf
        Wriezen
        Zechin
        Zeschdorf
"      Oberhavel, Landkreis"
        Birkenwerder
        F?rstenberg/Havel
        Glienicke/Nordbahn
        Gransee
        Gro?woltersdorf
        Hennigsdorf
        Hohen Neuendorf
        Kremmen
        Leegebruch
        Liebenwalde
        L?wenberger Land
        M?hlenbecker Land
        Oberkr?mer
        Oranienburg
"        Sch?nermark, b Gransee"
        Sonnenberg
        Stechlin
        Velten
        Zehdenick
"      Oberspreewald-Lausitz, Landkreis"
        Altd?bern
        Bronkow
        Calau
"        Frauendorf, OL"
        Gro?kmehlen
        Gro?r?schen
        Gr?newald
        Guteborn
        Hermsdorf
        Hohenbocka
        Kroppen
        Lauchhammer
        Lindenau
        L?bbenau/Spreewald
        Luckaitztal
        Neu-Seeland
        Neupetershain
        Ortrand
        Ruhland
        Schipkau
"        Schwarzbach, b Ruhland"
        Schwarzheide
        Senftenberg
"        Tettau, b Ruhland"
        Vetschau/Spreewald
